"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",263.375518798828,264.114959716797,272.692321777344,282.654632568359,290.099456787109,297.053955078125,301.697021484375,300.412719726562,294.025482177734,283.913909912109,273.915588378906,266.606140136719,271.732849121094,273.662506103516,278.807861328125,286.3623046875,294.876861572266,302.596069335938,308.282592773438,307.536865234375,301.073425292969,291.002624511719,279.414825439453,273.245361328125
"PampasPlain",300.456848144531,300.940673828125,297.912292480469,293.409027099609,288.901275634766,285.239288330078,285.158264160156,286.179809570312,289.191833496094,292.715454101562,296.048248291016,299.296875,305.173706054688,304.789825439453,301.795532226562,296.703247070312,291.692016601562,288.648284912109,287.668212890625,289.033477783203,292.318420410156,295.250030517578,299.550903320312,303.319488525391
"EurasianSteppe",266.808715820312,267.724578857422,273.270355224609,281.329040527344,290.931091308594,297.243438720703,299.931579589844,297.098327636719,289.912628173828,282.505584716797,274.619812011719,269.357086181641,272.815765380859,275.010925292969,280.189117431641,287.628540039062,295.947052001953,303.687377929688,306.859985351562,305.210083007812,296.097198486328,287.825531005859,279.826721191406,274.84130859375
"ChinaMoll",250.799789428711,254.591323852539,264.766235351562,277.400909423828,287.187896728516,294.523864746094,297.598754882812,295.064147949219,286.961120605469,277.449462890625,265.586029052734,255.228088378906,258.135223388672,262.151000976562,270.991485595703,283.766326904297,293.503540039062,300.736297607422,304.084197998047,301.570404052734,293.918853759766,283.929809570312,272.997528076172,262.386444091797
