"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",269.379333496094,270.653289794922,274.106018066406,282.249328613281,291.420776367188,297.695037841797,299.947204589844,298.240509033203,292.343322753906,284.151947021484,276.993072509766,270.716094970703,274.151824951172,275.713317871094,281.168518066406,289.435363769531,297.848968505859,303.962554931641,306.618530273438,304.923187255859,298.2685546875,289.746337890625,281.4013671875,276.023376464844
"PampasPlain",305.011627197266,304.055755615234,301.085021972656,296.164733886719,292.497589111328,289.90771484375,289.961334228516,291.937103271484,295.575408935547,298.715087890625,301.538787841797,303.824890136719,308.029449462891,306.933166503906,304.296813964844,299.046844482422,294.366729736328,291.454345703125,291.876953125,294.912475585938,298.480865478516,302.168212890625,304.599578857422,306.724822998047
"EurasianSteppe",269.275573730469,270.573364257812,274.035583496094,282.559295654297,293.197052001953,300.029357910156,303.745239257812,301.0966796875,292.710388183594,283.782867431641,275.377136230469,271.052947998047,272.816955566406,273.993377685547,279.3193359375,288.759002685547,298.310668945312,305.73779296875,309.757720947266,307.645263671875,299.207061767578,288.903625488281,280.328002929688,275.164947509766
"ChinaMoll",259.136993408203,262.654510498047,269.754150390625,278.206848144531,287.575469970703,295.689483642578,299.123626708984,296.699188232422,289.746337890625,279.790252685547,268.805572509766,261.397338867188,264.585479736328,267.665802001953,273.700866699219,283.089996337891,292.463287353516,300.50537109375,304.027526855469,301.931610107422,295.41845703125,284.904144287109,273.744201660156,266.213287353516
