"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",272.02922553981,272.932887881164,276.547380556677,282.525603703814,289.712883449205,296.109591149337,301.507096265088,300.972140434958,293.322039058847,283.471115634144,275.62841183068,271.871441017237,273.982437601772,276.119224224705,279.07462791934,286.326929623974,293.551969779039,301.448737898381,307.481630059173,306.717427829606,298.774777773934,288.359796547521,280.024492151988,275.043016262101
"PampasPlain",301.353897090192,300.937805836514,298.099446436196,294.081106830825,290.022131654467,286.8041486751,287.055195944938,288.950360119979,292.560168608878,295.611179755765,297.660634939712,300.07170117084,304.024945215416,303.431344308169,301.413257322686,297.930728177249,293.109933250188,290.318095770394,290.366660497002,292.432797051948,295.512324464245,298.258111980044,300.48706074416,302.8595419392
"EurasianSteppe",273.186342284467,274.290744704146,277.461736571985,283.674717792918,291.348925230413,298.149069423313,301.265774065684,299.629182761855,291.701567784331,283.497113531114,277.200591461067,274.250673584342,276.285416682464,277.141080700689,281.187056423234,288.114064652045,295.53695220053,303.681809151689,307.739115085006,305.869110905631,296.567923452359,287.619214047266,281.134965916324,276.753894885594
"ChinaMoll",262.859172484406,265.259153548332,270.558444971173,279.589962863173,287.479408781962,293.419408756746,296.795343227931,294.818546295485,287.201220277999,277.535504509895,268.589408422471,263.666994681191,266.488576867265,268.176878501538,273.59072443935,282.906189688221,291.58842377202,297.415644247394,299.843108284606,297.978054225597,291.006574177617,281.324256694514,272.633310130717,267.512587895658
