"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",266.458969001685,269.232325592848,273.247323497981,279.974319882596,285.492585467464,290.927182878319,294.992796651071,294.238581032743,288.794864293352,279.53199439687,272.570759940229,267.190632177566,267.999625913522,270.501610034793,275.873511461687,282.226361612518,288.932111148878,293.977484162097,298.053028720027,298.000774686772,292.320512143495,282.660184873159,275.04365739922,269.751495965275
"PampasPlain",300.894885387378,300.175584397574,297.699889280575,293.453967573876,288.427898478796,285.231002199716,284.616445985915,287.19063582895,290.234298148183,294.147706952942,298.073833010476,299.955246806823,304.371925912141,303.296699912999,300.093026860616,294.867711362202,289.59189657488,286.338021438256,285.647031078298,287.485636129419,291.809523553456,296.756657343851,300.525802687192,303.256050170019
"EurasianSteppe",265.442980805202,266.460329188147,271.150559631135,278.458980238269,287.914340975227,293.684044519231,297.010808690365,295.685122920632,289.407575451696,280.736483189726,273.892929877693,268.122458183016,268.648124409788,270.689866195908,274.729347859569,283.363658751095,290.53213668391,296.577101748522,299.628508875971,298.862200333306,292.630236763888,283.537672912884,276.681307455082,272.236487599123
"ChinaMoll",252.306211992328,256.333005255641,264.824756515468,274.907080363923,283.135908489557,289.467019044489,292.977837105951,291.971432792768,285.010462956622,274.013819893326,262.815669745402,254.571060344652,255.369959656137,258.669351305833,266.691790162807,276.56053126897,286.197303306397,292.078097326197,295.73552222542,295.481080401366,288.661907894831,277.921872998119,266.791341716282,258.456785987966
