"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",266.430694580078,269.221862792969,273.246917724609,279.986083984375,285.506652832031,290.946380615234,295.009826660156,294.247741699219,288.785125732422,279.507080078125,272.540222167969,267.153442382812,273.159301757812,274.973358154297,278.776184082031,284.580047607422,290.98193359375,296.865997314453,301.558502197266,301.660736083984,295.84375,285.42236328125,278.038299560547,274.301513671875
"PampasPlain",300.903442382812,300.180358886719,297.69580078125,293.44091796875,288.4091796875,285.213531494141,284.60693359375,287.188903808594,290.237487792969,294.154022216797,298.0830078125,299.965118408203,307.956634521484,307.016204833984,304.356323242188,298.743377685547,292.529296875,288.389465332031,287.987152099609,289.912658691406,294.771362304688,299.778472900391,304.282318115234,306.998870849609
"EurasianSteppe",265.40625,266.436340332031,271.144226074219,278.466552734375,287.931976318359,293.703430175781,297.026397705078,295.689727783203,289.39990234375,280.712951660156,273.868225097656,268.085906982422,273.257171630859,274.624359130859,279.131988525391,285.942687988281,292.560424804688,299.703521728516,303.4140625,302.998046875,296.531127929688,287.138732910156,279.807922363281,275.908752441406
"ChinaMoll",252.254257202148,256.310302734375,264.835601806641,274.933502197266,283.160705566406,289.4951171875,293.003173828125,291.981903076172,285.003356933594,273.990753173828,262.774536132812,254.508682250977,259.156524658203,262.699310302734,270.525390625,280.319732666016,289.361785888672,295.442749023438,298.882232666016,298.686004638672,292.245880126953,281.504608154297,269.910614013672,262.378479003906
