"","tas","tsl0.01","tsl1.0","mrlsl0.01","mrlsl0.1","soil.minus.air","SAWR0.01","SAWR1.0"
"Global",0.632640214087365,0.678260475374855,0.660489445219796,15.0190027836163,3.09547509489392,0.174529993115485,0.072655664305459,0.0678318645988957
"Rock",0.674685522991639,0.701611771541828,0.694640111234317,5.68265757789331,6.46350022785904,0.199281379924023,0.0831067447457845,0.0906595942139847
"ShiftingSand",0.648668336586994,0.676617504138471,0.673740045404239,1.76180475638385,2.36896711095096,0.0559649529571568,0.0216446358275754,0.0181423096827949
"Gelisol",1.00274960941036,1.06857009239244,1.05373500849228,128.041891192978,20.8516831023242,0.713807520572348,0.163694046021384,0.153246010860995
"Histosol",0.761364945911995,0.885853405729961,0.811877917001781,7.23919248798596,8.11710520338831,0.4511632676843,0.166423631557772,0.149856951662952
"Spodosol",0.793648092896911,0.972271051417178,0.816960318820166,7.28980072620995,11.3007804556637,0.517109952633293,0.18224608080445,0.147127471577562
"Andisol",0.52588777666721,0.560893791751464,0.526189523806371,7.47905643455519,3.70021081085484,0.140207997247357,0.0700950095775034,0.061689269868455
"Oxisol",0.663196120864596,0.670786666159909,0.674184031854391,7.79865591761535,6.87589389578285,0.08978729022596,0.0491646892523489,0.0488545845916437
"Vertisol",0.552975953847104,0.606144470106091,0.602351376442251,2.98750974085395,2.53518717972989,0.100266864309101,0.0636418181722956,0.059883076818117
"Aridisol",0.585964230731929,0.596999718968337,0.593345098586905,1.15289825029486,2.58436004119918,0.059709746384412,0.0250185806488267,0.0298403825000098
"Ultisol",0.554889757328706,0.57717800621667,0.572638089701177,2.61496791854789,2.40102069500128,0.108554857308705,0.0626127110016806,0.054370029636342
"Mollisol",0.661733701421738,0.669687516911885,0.636806100525004,5.6189960136251,2.63636092965913,0.266825724682736,0.0908546550533859,0.0937856422151393
"Alfisol",0.580728352669405,0.619118140234642,0.593425949436739,2.99848036198756,3.04352477366152,0.163368712428938,0.0738452587009176,0.0648070725107366
"Inceptisol",0.650118809611562,0.742073091822059,0.703690309700424,18.0783992543983,6.31500339640934,0.295311502335561,0.119776674679146,0.107638205209229
"Entisol",0.612655597160715,0.635976293180715,0.631884323676678,1.93263945489825,3.02304413641724,0.0493468703990261,0.0252892216708692,0.0241560962291901
"GreatPlains",0.783763301149478,0.809556292921265,0.774919655997376,10.0521880274444,5.42612208819977,0.321607036047091,0.109072088120912,0.105593783824575
"PampasPlain",0.368687551392908,0.436005184702198,0.422746308098525,11.9002459863933,10.7928417686135,0.14700730888133,0.108550470880341,0.0966065248890621
"EurasianSteppe",0.738168320030222,0.725201442993414,0.638949180761739,8.42324393930368,7.27077972239983,0.390724860092307,0.119142097401047,0.119171203905417
"ChinaMoll",0.831746779075019,0.788331598129887,0.824739925643088,11.9676859670072,10.8030913461529,0.317689138264575,0.115148260958464,0.121368937376234
