"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",270.336353441843,272.23191429261,276.410005168957,281.753125784656,288.107915705243,293.877824613328,297.098190827645,296.333114036074,290.113795145984,281.635014941834,274.67965445582,271.239874087482,271.791675703325,274.545763958691,278.544326404274,285.16790409187,291.171917300227,296.803085788361,300.514844551226,299.346951780587,293.541448911734,284.421406763368,276.764153448749,273.663286409393
"PampasPlain",300.762564838144,299.552063802592,296.906776245665,293.307561878194,289.628211998394,286.95643054507,286.687607814913,288.675834149924,292.069508548475,295.285350903267,298.15804849678,299.841637473994,300.991624759075,300.067421876608,298.057758458302,294.188428796539,290.654426379722,287.66804632029,287.521761891986,289.758930866373,293.255056951446,296.313718566287,298.585602226223,300.2009070813
"EurasianSteppe",272.797334896367,274.503885672721,277.256460974179,284.096564152795,291.306912508091,295.897001305392,298.885791850483,297.662880781044,290.002119166817,282.87874431825,277.236116878195,274.639305524281,275.529392932119,276.230960952033,280.326263683709,286.454771782015,294.121476298091,299.541643971745,302.563354751893,300.943777725814,292.844209463947,285.108920204457,279.828083828873,275.985341970951
"ChinaMoll",261.437109102538,263.916175710258,270.302207201536,278.756678252928,285.877841026277,291.028914569224,293.674610957069,291.916229138701,284.502259786917,275.971023073093,267.945337389057,262.433912224795,264.50158395504,267.056629765597,272.077912980309,280.725438167962,287.683832143241,293.182513897273,296.343827808873,294.796144089115,287.061032058474,278.166049257746,270.310286603076,265.386017740363
