"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",3.77796048451163,4.38794526926931,6.13439035415649,3.87645474490743,3.86534343083546,3.86850166320801,3.16485977172852,6.47411632537842,3.12918019294739,6.27417755126953,4.86131525039673,5.28415298461914,3.79956531524658,4.08722829587052
"Rock",3.93897997850001,4.8867399258295,6.33430957794189,3.97543537972271,3.8778893524756,4.34550619125366,3.23017978668213,6.29535722732544,3.11704993247986,6.62869071960449,5.00707387924194,5.37503957748413,4.06618070602417,4.1562299565564
"ShiftingSand",4.45679123541234,4.68171785412499,6.30214166641235,4.43045453537952,4.5502710274157,4.24060773849487,3.92482900619507,6.21787452697754,3.77437877655029,6.43945026397705,4.5886344909668,5.45951795578003,4.7753758430481,4.25746472677041
"Gelisol",3.55600631249063,4.5849871668036,8.65439510345459,4.64113187027695,4.55981792617311,5.41896200180054,3.75428557395935,9.42252731323242,3.90194439888,7.73742771148682,8.94248294830322,7.14811182022095,4.69586229324341,5.95838965959273
"Histosol",2.92958555180329,4.30043954374166,6.35338592529297,3.60181849054084,3.57027919473843,3.79853773117065,2.69609379768372,7.1696662902832,2.39474248886108,6.64295482635498,5.1696138381958,5.25215435028076,2.9320011138916,3.97974099145251
"Spodosol",2.8307897291763,4.49794366189732,6.02931785583496,3.35896457108366,3.35750649153931,3.95930171012878,2.61878228187561,7.36472749710083,2.25134921073914,7.14081382751465,5.7704119682312,5.27356863021851,2.71883940696716,3.92727900820864
"Andisol",3.24299041395361,3.98390326495753,4.71512603759766,3.41813245979418,3.37518291728922,3.23356175422668,2.66315984725952,5.41254711151123,2.43008589744568,5.35069274902344,3.40854239463806,3.89912009239197,3.12188172340393,3.56231957876695
"Oxisol",4.0124759518691,3.95546786082683,6.17019271850586,3.56209998690378,3.63530805520325,3.30976939201355,3.10206961631775,6.2060923576355,2.71408486366272,5.53541851043701,3.89405798912048,5.25326299667358,3.53751373291016,3.6501767919297
"Vertisol",3.86611886369365,3.74258129648558,5.22675037384033,3.29232890722321,3.38605115566976,3.41840267181396,3.25541186332703,5.43638610839844,3.26781034469604,5.94853973388672,3.40287399291992,5.09897470474243,3.84143710136414,2.9377353241824
"Aridisol",4.13524366723652,4.66612394251909,5.95960807800293,4.1131697988023,4.16933121937036,3.79908275604248,3.26927328109741,5.9378399848938,3.47683954238892,6.17712545394897,4.37923860549927,5.0519814491272,4.06071805953979,4.00623280606729
"Ultisol",3.88679718901809,3.95510501718934,4.99439334869385,3.44174682055651,3.4618766643481,3.06067204475403,2.81088876724243,5.69412088394165,2.71143388748169,5.29834508895874,3.76188635826111,4.52373886108398,3.42009973526001,3.55850807875454
"Mollisol",3.75986730345436,4.80537444890913,5.89244031906128,3.97055776200088,3.97082390809846,3.52796483039856,2.55964016914368,6.23082733154297,3.13687109947205,6.38944292068481,5.03918170928955,5.07929706573486,3.29503750801086,4.43896584475938
"Alfisol",3.57422509551268,4.31584700273035,5.54519081115723,3.62509391091766,3.60486551873311,3.57810759544373,2.85903978347778,5.90791749954224,2.9324266910553,6.09543037414551,4.21700239181519,4.89443206787109,3.4475417137146,3.75787684312638
"Inceptisol",3.34560738977123,4.3524563304844,6.20902967453003,3.65512913773258,3.46284003074192,3.8707594871521,2.91860389709473,6.63077783584595,2.69058203697205,6.26252412796021,4.81711721420288,5.30436182022095,3.40607118606567,3.92888184423052
"Entisol",4.17096308376212,4.29441205427677,5.83827304840088,3.97363379966518,4.0390204321852,3.88681960105896,3.48920702934265,5.94932556152344,3.36545038223267,6.12645149230957,4.27420473098755,5.09960412979126,4.13047647476196,3.94114022794448
"GreatPlains",4.09033297173138,4.90217230520442,6.19062900543213,3.97897236622002,4.1989594458799,3.60930442810059,2.49077653884888,6.49554681777954,3.3183228969574,6.1291675567627,5.95207738876343,5.20864152908325,2.90406370162964,5.10051112040467
"PampasPlain",2.90935602339722,3.63638515582123,4.88015222549438,3.54547556154066,3.07979413313125,3.55569791793823,1.00144040584564,3.37154293060303,2.84185028076172,5.21262502670288,2.71667671203613,4.23005294799805,2.29386639595032,2.96471236352334
"EurasianSteppe",3.6751511607508,5.28864993514731,5.7235107421875,3.99518699223608,4.33632709828256,3.09744429588318,2.4691014289856,6.26503086090088,2.96545600891113,6.92495965957642,5.21592569351196,5.07650136947632,3.36519169807434,4.60274583093931
"ChinaMoll",4.03205125195162,5.05434001974264,5.83148956298828,4.15318680182716,3.55734385319401,3.51940441131592,3.1835675239563,6.75038433074951,3.06893110275269,6.5704026222229,4.97053050994873,5.30414485931396,4.21873998641968,4.30261909983873
