"","tas","tsl0.01","tsl1.0","mrlsl0.01","mrlsl0.1","soil.minus.air","SAWR0.01","SAWR1.0"
"Global",2.46160261120115,2.26186099809725,2.26199146110848,-11.7109531253983,-3.96408307268443,-0.199741613103898,0.911909075510303,0.913298695139348
"Rock",2.55669929300036,2.32681666969574,2.32830324923409,-3.96393613203745,-1.66250643608285,-0.229882623304621,0.904179837846353,0.905829247625501
"ShiftingSand",2.36500609772546,2.3927307114891,2.4024213603004,-1.99772976209238,-1.55770896330886,0.0277246137636393,1.00960833722191,1.01432862787689
"Gelisol",3.66386388029371,3.16884267763766,3.1762452112428,-54.0857329560412,-9.54377808151211,-0.49502120265605,0.867916340829459,0.868674644303627
"Histosol",2.77276340552739,2.21350103377433,2.23662982780636,-8.58062331790025,-3.99574161090162,-0.559262371753053,0.786315572948633,0.799649336719348
"Spodosol",3.01473277807236,2.27273223721336,2.23119941080144,-17.9041421411879,-7.7348108572092,-0.742000540858999,0.736804446287621,0.731346093583914
"Andisol",2.09852610315595,1.81821012709043,1.79287568589991,-11.2759472754854,-4.17921641914911,-0.280315976065525,0.857370016877097,0.847015548416532
"Oxisol",2.11012014320918,2.0633596491035,2.06064823115971,-9.22348822234303,-7.22408806896087,-0.0467604941056862,0.973884907144433,0.971552290903867
"Vertisol",2.03063539947782,1.98452313214964,1.97864647747044,-2.55013015711801,-2.0434443523994,-0.0461122673281875,0.96918704137375,0.966290557710395
"Aridisol",2.28659663030079,2.24628531346682,2.25065904354362,-3.86422280386442,-1.96315054668564,-0.0403113168339719,0.980081966728269,0.98262357166886
"Ultisol",2.00729372671672,1.9401758372283,1.94318100448988,-5.48007053478214,-3.88613355245468,-0.0671178894884178,0.96154651582866,0.963514053457312
"Mollisol",2.52784192562103,2.21212013638827,2.20761724048188,-8.52071376884824,-1.81366804394494,-0.315721789232767,0.87055245093107,0.871940861790804
"Alfisol",2.26656447138105,2.0450112429308,2.04048083083698,-7.98458674138198,-3.60813421055956,-0.221553228450247,0.894149927079241,0.894430458284981
"Inceptisol",2.53596685613905,2.19193155479459,2.19857621441885,-12.9659042950851,-3.70917801795474,-0.344035301344458,0.854179276928443,0.859022426201876
"Entisol",2.2436232311385,2.21321511808266,2.21432153280523,-3.74713369735303,-2.30806303121325,-0.0304081130558461,0.982759162718289,0.983628738420963
"GreatPlains",2.78310666765486,2.37594378237052,2.36888174970709,-11.4503101516787,-2.64843993282223,-0.407162885284335,0.847700390465544,0.847813498546263
"PampasPlain",1.5452113534723,1.40210696677225,1.40604175396541,4.32345542894508,4.14897909606478,-0.143104386700048,0.897915391602764,0.901583562523174
"EurasianSteppe",2.68358558416367,2.29180705670521,2.27572927583382,-19.1884060528237,-7.65990690893991,-0.391778527458453,0.852666767055403,0.854178492708962
"ChinaMoll",2.47912068877901,2.26596524224826,2.33835030195296,5.03013111746566,3.37312130393837,-0.213155446530757,0.912574016605906,0.943022473498479
