"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",269.379333496094,270.653289794922,274.106018066406,282.249328613281,291.420776367188,297.695037841797,299.947204589844,298.240509033203,292.343322753906,284.151947021484,276.993072509766,270.716094970703,271.345764160156,273.204071044922,278.335540771484,286.941650390625,295.498840332031,301.426239013672,304.128112792969,302.234680175781,295.790802001953,287.442626953125,279.484893798828,273.843811035156
"PampasPlain",305.011627197266,304.055755615234,301.085021972656,296.164733886719,292.497589111328,289.90771484375,289.961334228516,291.937103271484,295.575408935547,298.715087890625,301.538787841797,303.824890136719,306.313568115234,305.541564941406,302.573486328125,298.164245605469,293.90185546875,290.671417236328,290.753173828125,293.287200927734,296.582427978516,300.190704345703,303.092681884766,305.244262695312
"EurasianSteppe",269.275573730469,270.573364257812,274.035583496094,282.559295654297,293.197052001953,300.029357910156,303.745239257812,301.0966796875,292.710388183594,283.782867431641,275.377136230469,271.052947998047,271.228576660156,271.705474853516,276.790069580078,285.89306640625,296.659362792969,303.365692138672,307.111907958984,304.86669921875,296.477294921875,286.454772949219,277.362274169922,271.604156494141
"ChinaMoll",259.136993408203,262.654510498047,269.754150390625,278.206848144531,287.575469970703,295.689483642578,299.123626708984,296.699188232422,289.746337890625,279.790252685547,268.805572509766,261.397338867188,261.391784667969,264.729278564453,272.140411376953,280.959777832031,290.534729003906,298.783355712891,301.775848388672,299.715789794922,292.572570800781,282.513763427734,271.302368164062,263.895935058594
