"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",0.843426331281243,0.816758219251849,0.985279734717342,0.843680458670685,0.847791800179811,0.974938096428481,0.902431851531749,0.952704589056029,0.819792591942322,1.04010177270883,0.973360308537608,0.98471613822938,0.906973378427653,0.864916240198263
"Rock",0.854578254382926,0.866146520621384,0.979755164004796,0.817442378787339,0.822233594489459,1.02170751406692,0.852745827647574,0.948141640059092,0.713891543520539,1.03213932324214,0.936456399395898,0.981071177095194,0.865755111631107,0.830834340653375
"ShiftingSand",1.01500969853046,0.99358091210546,1.03357239036748,0.998395520010113,0.999249722281537,1.02114829585374,1.03072824821435,0.990657896896572,0.964126666184415,1.0634240460593,0.999685689848555,1.00592434969363,1.03005032012692,0.991388800454303
"Gelisol",0.584656739549332,0.516038063358919,0.97386163912532,0.653484663767462,0.670867779018432,0.949046358483628,0.871189411688725,0.867806390421833,0.71028840981221,1.0215196797211,1.03574953967067,0.965422943968949,0.79863603034216,0.759215537431951
"Histosol",0.606207388678943,0.644553168743075,0.957341918042417,0.722342275110204,0.734025515695554,1.00479733142926,0.798275808365159,0.911517193155482,0.618114404731616,1.00987956570908,0.864762714058838,0.916749613744007,0.721595502248171,0.733774611623551
"Spodosol",0.538625836682865,0.626126269674217,0.858740093872597,0.644681229296489,0.672836791852473,0.931525747494492,0.700201381977194,0.857875830914911,0.571862647055554,1.00533394221477,0.85522880288469,0.911507144032616,0.59845106597192,0.680714403563393
"Andisol",0.838642244812054,0.852420731736653,0.88089406689438,0.847796337381735,0.834122373766731,0.905345904819798,0.872897764101592,0.929075391621913,0.784967516639052,1.0346886435508,0.906107884216083,0.868886104973351,0.871749334825909,0.896506857906339
"Oxisol",0.98972431126338,0.999446461229759,0.97604544591475,0.93466260088122,0.922317899111127,0.939945739312128,0.96056466273066,1.01350454858566,0.889014432401226,1.03919681939154,1.00881252843671,1.01369427342899,0.983611821666779,0.9708468198596
"Vertisol",0.989055755693794,0.987246892105794,0.985546278306364,0.91337524567494,0.904605600138218,0.950189874848031,0.991983177606425,0.995798762628676,0.930345132519739,1.11839234085562,0.972143500263199,1.03135921448188,1.01310001316987,0.906894027631371
"Aridisol",0.972886842995175,0.964285342907999,1.02475324945618,0.961436715942426,0.95911401070304,1.00559174566461,0.960635254425588,0.985857335202447,0.905727248479708,1.05493088499945,0.990151537286441,1.00344946143468,0.993495202593692,0.955196367791009
"Ultisol",0.99997227515711,0.99926027085744,0.965270169826191,0.943403513129337,0.920650772164962,0.93951451408045,0.936347985251558,1.01867329425036,0.976383108701423,1.04080514795951,0.991224577715557,0.997251439378637,0.992327875447586,0.952196743618875
"Mollisol",0.82483599099286,0.84001522720069,0.968985775758931,0.823765421474235,0.833715344982714,0.988695265165325,0.741656439207627,0.9171062218749,0.712953970925825,1.02079608301949,0.950392821327315,0.979443769170167,0.844209840294624,0.83804588332751
"Alfisol",0.872067055258027,0.861979952325106,0.974499240943713,0.870617588174281,0.869354149690908,0.984077618895672,0.856140832351753,0.975201314759532,0.820415252512877,1.04583571970628,0.945020744171646,0.995209620579921,0.905716261662242,0.887015505586766
"Inceptisol",0.738503703145888,0.735450278618485,0.989703776561946,0.75035916760988,0.754389805990695,0.95525056042928,0.852042920028664,0.925476768104226,0.704882479675972,1.02356809205393,0.935287522522561,0.962482348616592,0.8219422889142,0.779061257402246
"Entisol",0.993101195154435,0.963968175323119,1.00909045717308,0.96702060084737,0.958460995341658,0.998204769326653,0.984775707720601,0.993457948999416,0.934836599499017,1.05691310088246,0.988857546263688,1.00331292060973,0.996893459721294,0.968626769224136
"GreatPlains",0.769809215077116,0.834364423348974,0.984227735234967,0.797538234109475,0.811037647446847,0.969590417291723,0.724840739256838,0.870102611624194,0.808372453365618,0.999164244424725,0.945276702012412,0.975774609359765,0.865529378512922,0.811712522290378
"PampasPlain",0.917007231220832,0.989454208097731,0.974503398241185,0.931510454660195,0.84239029314247,1.01844786455715,0.758796363214941,0.919667506338113,0.872776444180047,1.05132251473333,1.01204514289306,1.00956585166169,0.986818181171222,0.943821038722505
"EurasianSteppe",0.838184282789837,0.837925153992933,0.956478787446547,0.877789837376352,0.890598226224549,0.945581495337327,0.633979666021046,0.918909414062061,0.569087549960591,1.00939841211151,0.928363777883266,0.984261393593491,0.737388822338575,0.902328701258701
"ChinaMoll",0.880150501426979,0.829600013385683,1.03337234212509,0.805750305652949,0.797002124945783,1.04066070066267,0.791598681929439,1.00006325792108,0.645221199975558,1.02244315493742,0.95189959685066,0.982724524476274,0.976133731186375,0.801240648358973
