"","tas","tsl0.01","tsl1.0","mrlsl0.01","mrlsl0.1","soil.minus.air","SAWR0.01","SAWR1.0"
"Global",0.932244044122495,1.1268923485943,1.09986984810138,15.1654414041016,5.98525439545257,0.357649344148178,0.0741028178187145,0.0732967781533557
"Rock",0.890984025290277,1.13568644719092,1.15379092101946,8.20344159793094,8.8251122792036,0.364315905248953,0.0792600230622221,0.0908623206429339
"ShiftingSand",0.836899670223472,0.882864446198075,0.903045608427866,2.41151710666048,3.77109068519848,0.110159469623536,0.0190216791518142,0.024585560199826
"Gelisol",1.64734986017574,2.05802134909881,1.93216595002531,119.028976121977,21.3326605492119,1.44773594158564,0.181972773143639,0.167957557503978
"Histosol",1.16448979055747,1.541843309924,1.41030274042952,11.9319096151033,11.3527612953497,0.784798503061554,0.149884474810127,0.140491388260314
"Spodosol",1.23296942766529,1.6928717176814,1.53140053285036,16.9618580776988,18.7482919327711,0.88778731803407,0.16824510686992,0.151318199640596
"Andisol",0.784210051008047,0.900663644859295,0.861761555235502,9.04229594588249,7.12510673161821,0.243923204258263,0.0585374325228026,0.0573915033587463
"Oxisol",1.05865067448354,1.13189161568904,1.14889905593215,11.3429479734537,9.78267900972134,0.145789053336531,0.0346088917298051,0.0414906998385615
"Vertisol",0.816496164728642,0.979498220068374,0.989311100587147,5.86801129515568,5.23999788457898,0.240260742578405,0.0550702285618018,0.0570180814219672
"Aridisol",0.824695784601179,0.929688788063833,0.937613525381375,2.26861308871545,3.77631116309395,0.13945861062029,0.0285751812290832,0.0358467977274682
"Ultisol",0.826048205335037,0.912959490076995,0.904594410997169,6.07165872972271,5.505307658008,0.148421191867641,0.0372419253358382,0.0348532051333238
"Mollisol",0.94836263127225,1.18638527313093,1.16140199522646,10.2109473176756,3.97721998853168,0.372427991950582,0.0866031196070229,0.0943476293632888
"Alfisol",0.854546693226956,1.05358752361346,1.03677999913102,7.57096626766123,6.78946631596356,0.276728932397878,0.0646515952911214,0.0668953279468438
"Inceptisol",1.00489692322963,1.295668265583,1.23053522466307,19.3867534848672,9.91996423449585,0.596364210442394,0.119549626659338,0.110171737190785
"Entisol",0.823187577072406,0.907599277824439,0.916629024138921,2.62201349998106,4.50823191078422,0.116227897010574,0.0229978172809154,0.0287634811747133
"GreatPlains",1.12323122060082,1.29363364792304,1.21803341851932,19.2661786604048,6.40361543755718,0.429405062762193,0.0918049366501583,0.0897924867515317
"PampasPlain",0.945365611696254,1.05331616645864,1.04168161392692,13.9347562345818,12.7792464526748,0.219661611466311,0.0900937836207979,0.0794129806527127
"EurasianSteppe",0.999963839451925,1.32044566576914,1.32261920549424,13.6659600088,10.4938379948222,0.463462153397067,0.112333469497436,0.129284039608263
"ChinaMoll",0.977643110631079,1.18396457359121,1.24537598879366,15.2555332162625,10.9402069109167,0.514967193725179,0.0993657683133424,0.120589334799087
