"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",272.62990721412,272.951862304238,274.772194227852,278.22718658654,285.554684458306,292.56106065492,296.938119253151,296.337166960697,290.224378998997,283.189753063784,276.561234298718,273.240740965026,275.211877856887,275.869834881234,277.823214739459,282.604852697944,290.547051728118,298.917495018073,303.395866882699,303.108409744226,297.205860153202,289.377408282031,281.640794099043,276.195725149941
"PampasPlain",302.292316578261,301.608112089676,298.481335561235,293.464802069713,287.950642064009,284.985041005105,283.39216795607,285.281080011339,289.084590476972,293.949569218502,298.298982850707,300.777674638413,306.990035804473,305.726334250556,301.83897744729,296.8654538313,291.575434169899,287.835613305414,287.151304516523,288.656359999598,292.437884732474,297.780931099297,301.494724735817,304.902989526001
"EurasianSteppe",273.460710719845,273.710001791584,275.071463548485,280.683221225728,289.276221761061,297.145379670657,302.315221843746,301.27784221068,293.555398596321,284.632051185711,278.378620891984,274.379478453708,276.351062784593,276.802376858819,279.624073951232,286.033679554826,294.00217766715,303.063819769361,309.094640921819,308.833700992396,300.506297761288,290.49875311009,282.969738448896,279.450081388118
"ChinaMoll",265.592578701699,266.714235977236,269.753555953958,275.406912257509,282.636063455966,289.211717844351,294.473212889661,292.91370842852,285.984283193003,277.905303955679,270.762951397609,267.168422612604,269.811642623794,270.750951710443,273.234735233067,279.978318858025,288.420797934546,295.353746994338,300.208708484584,299.181393512626,292.322075345622,283.433712652988,275.274209302542,271.163003739194
