"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",270.336353441843,272.23191429261,276.410005168957,281.753125784656,288.107915705243,293.877824613328,297.098190827645,296.333114036074,290.113795145984,281.635014941834,274.67965445582,271.239874087482,273.485078906934,276.025836819751,280.218726568081,286.556448502478,293.570523289119,299.774900147686,304.307830238962,303.184749862096,296.633294539309,286.78087902083,279.413072341498,274.973947933134
"PampasPlain",300.762564838144,299.552063802592,296.906776245665,293.307561878194,289.628211998394,286.95643054507,286.687607814913,288.675834149924,292.069508548475,295.285350903267,298.15804849678,299.841637473994,303.061976256082,301.960797198833,300.182487729166,296.991929884736,293.067597229145,290.134880475453,289.849218372335,291.754533279181,295.175241202068,298.415779573219,300.587521248775,302.19291945574
"EurasianSteppe",272.797334896367,274.503885672721,277.256460974179,284.096564152795,291.306912508091,295.897001305392,298.885791850483,297.662880781044,290.002119166817,282.87874431825,277.236116878195,274.639305524281,276.186053282312,276.461972532951,281.32044243259,287.877362652187,296.216013026087,302.868481633529,306.620972384241,304.260705083373,295.083887474574,286.955342314386,281.542284090354,276.942577831498
"ChinaMoll",261.437109102538,263.916175710258,270.302207201536,278.756678252928,285.877841026277,291.028914569224,293.674610957069,291.916229138701,284.502259786917,275.971023073093,267.945337389057,262.433912224795,265.997712495883,267.950821456128,273.854033789696,282.527021975717,290.388462759658,295.174710435038,298.255628423221,297.077082805594,289.686582839893,280.243507173699,271.695127321473,266.555909534348
