"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",272.040405273438,273.743560791016,275.292633056641,279.207916259766,283.820465087891,288.382049560547,291.254241943359,290.764526367188,285.758697509766,280.072479248047,275.357391357422,272.826385498047,273.708892822266,274.705627441406,276.27294921875,280.332946777344,285.087493896484,289.693084716797,292.847778320312,292.658599853516,287.749938964844,281.621826171875,276.776794433594,274.196716308594
"PampasPlain",296.119659423828,295.663452148438,293.144378662109,289.764251708984,284.79638671875,281.813049316406,280.607208251953,282.265716552734,284.743072509766,288.8359375,292.530517578125,295.270355224609,298.167297363281,297.395080566406,295.248229980469,290.762115478516,286.323669433594,282.845153808594,281.998046875,283.340667724609,285.789184570312,290.101928710938,293.712310791016,296.826873779297
"EurasianSteppe",271.955871582031,271.825378417969,273.966613769531,278.566070556641,283.888061523438,289.536285400391,291.684448242188,289.567687988281,284.505126953125,279.057586669922,274.543243408203,272.594573974609,273.256469726562,273.351501464844,275.444427490234,279.710357666016,285.406158447266,291.289978027344,292.726226806641,291.398895263672,285.984191894531,280.009521484375,275.928039550781,273.595306396484
"ChinaMoll",261.041137695312,261.45068359375,265.508911132812,273.463623046875,280.560668945312,286.195983886719,289.453460693359,287.437347412109,281.174407958984,274.365447998047,268.175872802734,263.465789794922,261.800933837891,262.827667236328,267.442108154297,274.778594970703,281.545074462891,287.601501464844,290.753967285156,289.140319824219,282.674621582031,275.741088867188,268.991973876953,263.671112060547
