"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",271.656829833984,272.681060791016,275.216491699219,279.436157226562,285.798095703125,290.941986083984,294.197906494141,292.587249755859,285.824554443359,279.016021728516,273.691467285156,272.010650634766,272.220855712891,273.233276367188,276.304656982422,281.582061767578,287.575805664062,292.290283203125,295.938385009766,294.367156982422,287.921752929688,281.007751464844,275.451080322266,272.820343017578
"PampasPlain",301.341674804688,301.125671386719,298.830688476562,294.168060302734,289.432556152344,286.183563232422,286.269470214844,287.282470703125,291.257202148438,293.790710449219,297.57373046875,300.091461181641,302.864776611328,302.247741699219,299.637573242188,294.793487548828,290.444488525391,287.130096435547,286.911010742188,288.253082275391,291.599731445312,294.462005615234,298.59423828125,301.505767822266
"EurasianSteppe",270.796112060547,272.142547607422,274.394073486328,280.555969238281,287.836547851562,293.896301269531,296.556732177734,293.449768066406,288.164703369141,279.720642089844,273.702972412109,271.661193847656,272.129608154297,273.428955078125,276.477630615234,282.823120117188,289.916625976562,294.806701660156,298.106781005859,295.902069091797,289.566040039062,281.376495361328,274.778747558594,271.938781738281
"ChinaMoll",258.032379150391,260.447662353516,268.407806396484,278.274353027344,285.545379638672,291.852294921875,295.269256591797,292.398254394531,284.133087158203,275.408630371094,265.643768310547,259.105102539062,260.923492431641,263.047058105469,269.734283447266,278.650665283203,287.268524169922,293.541229248047,296.810089111328,293.209197998047,285.786346435547,276.885955810547,267.931274414062,262.588195800781
