"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",271.64079849012,273.390933913131,276.772876998473,283.140732249461,289.974597086533,296.299011355898,301.447289167044,300.9842607451,293.478830114251,284.55577700784,276.039448070464,272.055973546791,274.029176972407,276.327632661522,279.299511829949,286.498160480932,294.021506846719,301.458262593872,307.756239820465,306.763931849828,299.185244811692,288.247572377157,279.5834882096,274.277982006113
"PampasPlain",300.777304887659,300.23461091548,298.104034050093,293.665564522796,290.231952412021,286.676573570945,287.081879747457,289.278089608334,292.360569401226,295.531811733279,297.805033553202,299.783218442039,304.612856883097,304.037968393817,301.671741738614,297.776873291386,293.321308658145,290.800747446615,290.516675370406,292.611970273797,295.702047197561,299.066699684523,300.965681980253,303.006276906961
"EurasianSteppe",273.257199332032,274.036204721827,277.045399311984,284.733823456066,292.082162696426,297.625497193915,302.173232647863,299.936233737209,292.057041365958,283.291542759662,276.955986993993,274.117355626307,275.495087934696,276.418163477109,280.75010617616,287.973566368604,295.091611550932,303.586100384807,307.539168463712,306.694363204988,296.5582764982,287.055522644848,280.869168535503,277.134914610181
"ChinaMoll",262.760465825167,264.935366968742,270.386395126707,278.911363053077,287.552850037821,293.703768559835,296.469919172629,294.408032469285,286.608147835809,277.231625586681,268.573791402428,263.310952549343,266.250493965082,268.766977927066,273.200734819108,283.332740051742,292.317673535072,297.773075005296,300.563310412439,298.903919610465,291.703870601241,281.672186541322,272.566190659777,267.606615887572
