"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",4.51759767532349,5.3994402885437,6.20187664031982,4.55891227722168,4.52614879608154,4.02290487289429,3.51818299293518,6.52461862564087,3.61763954162598,6.01669359207153,4.92783975601196,5.26582765579224,4.13240432739258,4.66973209381104
"Rock",4.67583608627319,5.6709942817688,6.44292831420898,4.77537870407104,4.6243052482605,4.3637170791626,3.80299258232117,6.5004415512085,3.90559005737305,6.40398073196411,5.2572193145752,5.35560417175293,4.59968376159668,4.93691873550415
"ShiftingSand",4.38513422012329,4.61718273162842,6.08779764175415,4.37801504135132,4.49701356887817,4.18231534957886,3.80389475822449,6.2738618850708,3.77618074417114,6.05424642562866,4.53198480606079,5.40288209915161,4.56718254089355,4.22837972640991
"Gelisol",6.33358240127563,9.33168029785156,8.82446098327637,7.09364318847656,6.79663848876953,5.48549699783325,4.28188419342041,9.99732398986816,5.20685386657715,7.53639936447144,8.43138980865479,7.25338649749756,5.73182201385498,7.62940740585327
"Histosol",4.99820232391357,6.76707029342651,6.57280874252319,5.07882070541382,4.85590267181396,4.16248655319214,3.63020086288452,7.27791452407837,3.79400324821472,6.53896522521973,5.92902803421021,5.3455696105957,4.16320466995239,5.5106520652771
"Spodosol",5.35944938659668,7.20434045791626,6.90625190734863,5.15580463409424,4.99072408676147,4.6160569190979,3.81220316886902,7.53171920776367,3.9267463684082,7.04196166992188,6.65179300308228,5.31508159637451,4.65516710281372,5.73940896987915
"Andisol",3.85117149353027,4.66845083236694,5.31420850753784,3.95376896858215,3.98181104660034,3.60681939125061,3.05478596687317,5.38762664794922,2.90437054634094,5.15777492523193,3.74361515045166,4.35847043991089,3.52570009231567,3.9145143032074
"Oxisol",4.03728151321411,3.93403220176697,6.32097911834717,3.78215885162354,3.91133522987366,3.48703622817993,3.22696304321289,6.03436803817749,2.83966493606567,5.32756090164185,3.84369897842407,5.16174697875977,3.49817228317261,3.71338868141174
"Vertisol",3.88271355628967,3.7728545665741,5.27833127975464,3.56930637359619,3.70530939102173,3.60107040405273,3.25653338432312,5.41944313049316,3.32702970504761,5.31228542327881,3.47710347175598,4.91564655303955,3.71299481391907,3.21689605712891
"Aridisol",4.25933885574341,4.8183388710022,5.80793142318726,4.21714878082275,4.28110361099243,3.87993574142456,3.40790891647339,5.94897556304932,3.61918425559998,5.84830093383789,4.37373924255371,4.98254632949829,4.02399778366089,4.14650964736938
"Ultisol",3.86048555374146,3.93785929679871,5.16460227966309,3.62777590751648,3.7319610118866,3.24393558502197,3.02023315429688,5.49808883666992,2.75753450393677,5.08785915374756,3.77656650543213,4.51694059371948,3.36438751220703,3.69476866722107
"Mollisol",4.62859058380127,5.76716184616089,6.07204484939575,4.73192310333252,4.67994451522827,3.93668079376221,3.52792882919312,6.42392730712891,3.80484437942505,6.23083305358887,5.23798751831055,5.04941844940186,3.85374164581299,5.22334575653076
"Alfisol",4.10498952865601,4.99591064453125,5.66822481155396,4.10949993133545,4.09762239456177,3.77627801895142,3.35380244255066,5.86134338378906,3.3712203502655,5.80967044830322,4.42245006561279,4.81584787368774,3.75201988220215,4.184730052948
"Inceptisol",4.64984798431396,6.06287622451782,6.24427366256714,4.90873670578003,4.64294385910034,4.05213832855225,3.44990396499634,6.73643922805786,3.63784551620483,6.09877967834473,5.06237840652466,5.34623146057129,4.17132949829102,5.05004596710205
"Entisol",4.19675827026367,4.40318250656128,5.76970434188843,4.06172275543213,4.16235828399658,3.92337417602539,3.53495979309082,5.91910219192505,3.45332717895508,5.79263162612915,4.2779221534729,5.04478406906128,4.07689332962036,4.02049398422241
"GreatPlains",5.38248014450073,5.87423992156982,6.26630926132202,4.86294317245483,5.07773542404175,4.21517705917358,3.54396438598633,6.88316488265991,3.80000758171082,6.09799766540527,6.25666904449463,5.18274068832397,3.3691029548645,6.13202333450317
"PampasPlain",3.14695835113525,3.66952204704285,4.93739795684814,3.79674577713013,3.66337919235229,3.48631143569946,1.43278694152832,3.63851857185364,2.93469476699829,4.95654535293579,2.65519618988037,4.16794109344482,2.345134973526,3.13533902168274
"EurasianSteppe",4.391197681427,6.30727863311768,6.06076765060425,4.48434495925903,4.80278444290161,3.7485933303833,3.96369385719299,6.49924182891846,4.07071971893311,6.8078989982605,5.4866189956665,5.009361743927,4.43596982955933,5.03044414520264
"ChinaMoll",4.97842264175415,6.49038887023926,5.60534286499023,5.05807733535767,4.33260059356689,3.95160746574402,4.17934608459473,6.93274021148682,3.76586437225342,6.41022109985352,5.19958734512329,5.30564785003662,4.40330410003662,5.41619634628296
