"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",272.02922553981,272.932887881164,276.547380556677,282.525603703814,289.712883449205,296.109591149337,301.507096265088,300.972140434958,293.322039058847,283.471115634144,275.62841183068,271.871441017237,273.161431117624,275.107714391696,278.731956230013,284.36436512177,291.326234524573,298.795048719966,304.423437083011,303.636687260598,295.263720026859,285.734690625478,277.279128237623,273.407297362668
"PampasPlain",301.353897090192,300.937805836514,298.099446436196,294.081106830825,290.022131654467,286.8041486751,287.055195944938,288.950360119979,292.560168608878,295.611179755765,297.660634939712,300.07170117084,302.137270538981,301.421379710476,299.263339485446,295.734849527888,290.970918574912,288.279166250734,287.948402842085,290.404544914402,293.746685405886,296.772760013904,298.892045776048,300.77456257814
"EurasianSteppe",273.186342284467,274.290744704146,277.461736571985,283.674717792918,291.348925230413,298.149069423313,301.265774065684,299.629182761855,291.701567784331,283.497113531114,277.200591461067,274.250673584342,274.520339097315,274.921111211458,279.284672151549,286.106087126306,293.573359731042,300.441131002637,304.086900162452,302.364188034894,293.928907063883,285.343402879449,278.628572281887,275.434633419709
"ChinaMoll",262.859172484406,265.259153548332,270.558444971173,279.589962863173,287.479408781962,293.419408756746,296.795343227931,294.818546295485,287.201220277999,277.535504509895,268.589408422471,263.666994681191,264.23531129805,266.608543939449,272.244192194188,281.108668144318,289.097995943614,294.894277762884,297.517375812503,296.143590547915,289.00072674116,279.050135555327,270.682514470761,265.60082515395
