"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",3.81026083350276,4.41003723502764,6.110583370924,3.84626520108581,3.83723183571166,3.92208321889242,3.17492039234201,6.2160341064885,2.96571409654259,6.25797367095947,4.79656362533569,5.1853454737932,3.7479807138443,4.0389271253122
"Rock",3.99586784038804,4.91191196561781,6.31249228715897,3.90359692746623,3.8022591262937,4.45844252904256,3.24298605714905,6.16333931347109,2.78816771441652,6.60980033874512,4.92315667016166,5.25422888883758,3.98219972848892,4.10176162247188
"ShiftingSand",4.45095376278295,4.58754462984894,6.29217956066132,4.37099060382204,4.49363955979782,4.27076419194539,3.92078178053648,6.2152508204838,3.64071655178751,6.4382312297821,4.53056035723005,5.43489066206042,4.7044278383255,4.19196830483082
"Gelisol",3.70297163639684,4.8155022287879,8.59380403757095,4.63558703390795,4.55964576775201,5.20599095026652,3.73033217138518,8.67574164552509,3.69836795301564,7.69858026504517,8.73280811309814,7.00258574615871,4.57763957977295,5.7923646439222
"Histosol",3.02994717886867,4.36173660073519,6.29242532849312,3.66864690322543,3.56435646284566,4.18245538075765,2.89790152834704,6.63394421901343,2.34512805932006,6.60356736183167,5.12720237459455,4.90054887575531,3.00414976477623,4.04357657899122
"Spodosol",2.8867379100151,4.51082681637815,5.93067541122437,3.32385046952041,3.35794278355746,4.29997587203979,2.66930992721992,6.46127987357805,2.2455595725537,7.07952308654785,5.68880496706281,4.84473484621165,2.78588971495628,3.90689835373767
"Andisol",3.22975510649042,3.97948427460281,4.68125474452972,3.35199085041751,3.32131768208087,3.26541916529338,2.66651584029251,5.00551133785608,2.27983653516086,5.33669114112854,3.39211920329503,3.78701440417566,3.07352671027184,3.50938891819789
"Oxisol",3.99579566504221,3.93185456241991,6.16956288218498,3.53504242920438,3.60749449193641,3.27762484550476,3.09970666724809,6.11585945453284,2.52450311134609,5.53638434410095,3.87757168497358,5.23243335325819,3.44084361195564,3.60513159225123
"Vertisol",3.84022019055862,3.72473894521743,5.20203974843025,3.26011608587255,3.35184362536298,3.42170063654582,3.23042633456225,5.39667476348157,3.09528589183962,5.94121932983398,3.38024353981018,5.06979736761344,3.76163509488106,2.91738382172111
"Aridisol",4.14385473261088,4.6462535504713,5.95169659852982,4.05452167447484,4.10606645457422,3.90163135528564,3.27375744903564,5.86484119577228,3.27799379756565,6.16955327987671,4.33066463470459,4.99973343090838,3.99782249331474,3.96073095417761
"Ultisol",3.860378522386,3.93494634751757,4.98523651957512,3.42245653599701,3.43583278728293,3.0477245648702,2.82798922901584,5.60075626733168,2.69241011130522,5.29546999931335,3.74342553956168,4.50452550867455,3.33857551217079,3.51814669335295
"Mollisol",3.81782810108994,4.84450376850599,5.88372508883476,3.89799462960038,3.9017415560135,3.89217766125997,2.6165111332373,5.89142370223999,2.71267890906589,6.36040997505188,4.97814573560442,4.94562143819953,3.25336661934853,4.37740340845682
"Alfisol",3.57982613012008,4.30637481919354,5.52368077635765,3.57780291882164,3.56228503257867,3.71615068117777,2.87132721470866,5.71598977412818,2.76580059493962,6.0759608745575,4.17930705206735,4.7927781351434,3.39826542139053,3.7119204436598
"Inceptisol",3.43392995548131,4.45894400855102,6.17998122572899,3.68331558856517,3.50258951709239,3.8708074092865,2.93946624815395,6.23441800531351,2.56425356814058,6.24251627922058,4.73477935791016,5.14565341241857,3.42859211564064,3.93429516106966
"Entisol",4.16780565397311,4.24452780646455,5.82215359210968,3.92776957943341,3.98945806384796,3.91633081436157,3.48114253200488,5.88037912350781,3.2282966369319,6.12230825424194,4.23025560379028,5.06149703817529,4.06422829627991,3.89435809862243
"GreatPlains",4.14348281520627,4.90125680477413,6.16747537255287,3.87838311033436,4.11823459267234,4.08699528376261,2.56880976543824,5.98905974064233,3.07182145163552,6.0929012298584,5.91428347996303,5.05718677056228,2.91605758666992,4.97744012759303
"PampasPlain",2.88578356434181,3.63082403115395,4.8115110874176,3.53670838508366,3.08599507173768,3.5506264368693,1.08719352049355,3.34622730174155,2.56133246349456,5.21092772483826,2.68717840739659,4.20781099967939,2.31422182917595,2.9591989321918
"EurasianSteppe",3.68063287919529,5.28502741993146,5.79699569344521,3.93631243252745,4.27735130578703,3.54460048675537,2.51290130779289,5.9722145008591,2.31659591142391,6.87188243865967,5.09357833862305,4.93052137109151,3.2710345685482,4.53911413229513
"ChinaMoll",4.38176118445534,5.38442669362878,5.79240628480911,4.0755473589807,3.45309187961417,4.112282594045,3.30836485189215,6.93317876221999,2.42981552921055,6.55408668518066,4.94948509761265,5.2139902604658,4.29821366071701,4.33967667213526
