"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",271.656829833984,272.681060791016,275.216491699219,279.436157226562,285.798095703125,290.941986083984,294.197906494141,292.587249755859,285.824554443359,279.016021728516,273.691467285156,272.010650634766,273.305389404297,273.865234375,275.948822021484,282.714691162109,288.873260498047,294.279449462891,298.140380859375,296.567565917969,290.471069335938,283.112274169922,276.844696044922,273.721710205078
"PampasPlain",301.341674804688,301.125671386719,298.830688476562,294.168060302734,289.432556152344,286.183563232422,286.269470214844,287.282470703125,291.257202148438,293.790710449219,297.57373046875,300.091461181641,304.073760986328,303.054107666016,300.959991455078,296.137725830078,292.172821044922,288.714172363281,287.679016113281,290.302825927734,292.734924316406,296.247192382812,299.932678222656,302.886291503906
"EurasianSteppe",270.796112060547,272.142547607422,274.394073486328,280.555969238281,287.836547851562,293.896301269531,296.556732177734,293.449768066406,288.164703369141,279.720642089844,273.702972412109,271.661193847656,273.809967041016,275.027038574219,278.917694091797,284.382904052734,290.892242431641,296.721374511719,299.666351318359,297.828826904297,292.109222412109,283.311737060547,276.605712890625,273.970062255859
"ChinaMoll",258.032379150391,260.447662353516,268.407806396484,278.274353027344,285.545379638672,291.852294921875,295.269256591797,292.398254394531,284.133087158203,275.408630371094,265.643768310547,259.105102539062,262.674438476562,265.680267333984,272.475799560547,280.530731201172,289.509613037109,296.171722412109,298.884002685547,296.107238769531,288.957397460938,278.853881835938,270.482238769531,264.836639404297
