"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",271.855026534021,272.150476814022,274.4884515852,279.913379167479,287.094669050707,294.075873621976,298.35516185656,296.35601935451,290.403672710445,281.917942144017,275.264228747775,272.423664926695,272.516363772787,273.035961209078,276.018871657711,281.349375948878,289.076254136666,294.667301132025,299.72510510257,298.415089790986,292.943454883493,284.970269879023,276.587862924889,273.308492301549
"PampasPlain",299.282354599893,298.411145910795,296.402985399443,292.322338685765,288.234100862519,284.647481218414,283.693400796936,285.298609422104,288.000919617153,291.662355679599,295.245255016522,298.039419656728,301.033185588707,300.338553726451,297.653974648005,293.69687244285,289.475413264232,286.629932896294,285.502678963505,286.632558385132,289.129561183193,293.060231395389,297.050882327542,299.812229442967
"EurasianSteppe",272.972047761508,273.116623530373,275.423070492174,281.636381455992,290.580028497602,297.811106136967,301.638980598427,298.915664288381,290.192762260184,281.586095276229,276.456979301856,274.134662403366,273.568210922643,273.905475866645,276.184448621618,283.543972453406,290.925193587145,299.99036449216,304.051452787811,302.236170495743,293.0739977576,284.83451088853,278.131683987341,275.160641838033
"ChinaMoll",264.575469860934,266.205617365915,270.524415819922,277.676045883836,284.940442610141,290.996455267479,293.162048305481,289.827625972724,283.419249767903,275.530403659029,269.279131076205,265.937208985399,267.066096664904,267.806253802282,271.766005439003,278.806408994783,285.99664323738,292.521160755533,294.915408570023,292.376045335079,285.787297524675,278.089459723308,270.679746201488,267.616478062336
