"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",0.0243822339028265,-4.47609726032846,-4.22973531484604,NA,NA,-0.896600188894404,-5.97375881480301,-8.23268909113748,NA,NA,NA,NA,NA,NA
"Rock",0.780113498239392,3.44088556338281,4.14091462748391,NA,NA,-2.99337994721201,-1.7896365921711,-13.5539357662201,NA,NA,NA,NA,NA,NA
"ShiftingSand",-0.888071656455152,1.76197815587175,-1.47197213768959,NA,NA,-0.808004397484991,-5.45041258659205,-2.48977115750313,NA,NA,NA,NA,NA,NA
"Gelisol",4.57258514529759,-49.155500748924,3.48199144431523,NA,NA,3.27237806386418,-3.7329750757393,-15.7011473178864,NA,NA,NA,NA,NA,NA
"Histosol",2.25118523223043,2.67634775794924,0.0191884466579988,NA,NA,-1.0822257772088,-10.4318517660459,-17.4070935589927,NA,NA,NA,NA,NA,NA
"Spodosol",2.61799393530319,5.19076548126317,-14.4104702983584,NA,NA,-7.66286270485984,-6.56701055837339,-25.57728099823,NA,NA,NA,NA,NA,NA
"Andisol",-0.483308437355532,-0.377644705903304,-6.1603570835931,NA,NA,-1.8659822228882,-7.63627074915045,-8.55173531600407,NA,NA,NA,NA,NA,NA
"Oxisol",-2.64684939238315,-3.21164974368664,-18.5651621818542,NA,NA,-1.80121422641807,-12.903954218518,-4.21569865090506,NA,NA,NA,NA,NA,NA
"Vertisol",-1.29671094773972,1.46590437117131,-3.93055091585432,NA,NA,-1.87488252917925,-5.80756859944492,-0.816857493349484,NA,NA,NA,NA,NA,NA
"Aridisol",-0.467264218442713,2.2972592386397,-2.18782441105161,NA,NA,-2.49230045411322,-4.74984593694161,-4.17892749820437,NA,NA,NA,NA,NA,NA
"Ultisol",-2.31979190910202,-3.76214598427111,-6.36183857917786,NA,NA,-0.513646355312731,-6.83895789298958,-3.5204205938748,NA,NA,NA,NA,NA,NA
"Mollisol",0.891303824220946,1.25063737206123,-2.8883683681488,NA,NA,-0.856716949492693,-4.68704198642601,-4.59182215588433,NA,NA,NA,NA,NA,NA
"Alfisol",-0.720751717893447,0.0593331943604377,-5.38902315071651,NA,NA,-2.33108881033129,-5.79156522124327,-7.47570955753326,NA,NA,NA,NA,NA,NA
"Inceptisol",1.08614348792907,-2.83058004228081,-2.76471214635032,NA,NA,1.76161369101869,-3.76487608374326,-15.7426570143018,NA,NA,NA,NA,NA,NA
"Entisol",-0.998567044190424,2.16354955284459,-3.11669187247753,NA,NA,-1.60007516956992,-6.97790019485228,-3.31869345903397,NA,NA,NA,NA,NA,NA
"GreatPlains",1.48708345723126,-0.23039615934989,-8.76059470857893,NA,NA,0.910158416049348,-10.4035479944975,1.10665739221232,NA,NA,NA,NA,NA,NA
"PampasPlain",-0.651922062044915,4.36063676642204,-7.5406414100102,NA,NA,-4.11076846222083,21.5850696826625,11.2515000615801,NA,NA,NA,NA,NA,NA
"EurasianSteppe",-0.592830779268884,2.01872457878644,-9.57473823002406,NA,NA,-8.29754456877708,-17.5765035401277,-11.9365489142282,NA,NA,NA,NA,NA,NA
"ChinaMoll",0.41302589934177,1.44325929264909,22.4140618188041,NA,NA,7.33564837111367,-1.89293995997908,-9.4743275982993,NA,NA,NA,NA,NA,NA
