"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",268.276275634766,271.219055175781,275.345611572266,282.807983398438,292.184722900391,300.002349853516,304.865356445312,303.386260986328,294.653228759766,284.53759765625,275.154815673828,270.255279541016,274.307708740234,277.131103515625,281.801940917969,289.306427001953,297.8125,306.773681640625,311.682769775391,309.530364990234,301.777221679688,291.108123779297,281.068664550781,274.667602539062
"PampasPlain",300.186248779297,298.703247070312,295.626403808594,291.596160888672,286.948333740234,284.445526123047,284.669494628906,287.087982177734,290.510498046875,293.918701171875,296.807739257812,299.142272949219,306.36572265625,305.417877197266,301.613372802734,297.326568603516,291.956878662109,288.548461914062,287.400573730469,289.493133544922,294.263244628906,298.506256103516,302.619903564453,304.757446289062
"EurasianSteppe",270.440277099609,271.112182617188,274.37939453125,282.251312255859,292.801971435547,300.380126953125,303.452484130859,300.451904296875,290.707611083984,281.421417236328,274.911651611328,271.53076171875,275.197387695312,276.554077148438,280.631439208984,288.678253173828,297.42724609375,306.010498046875,310.01904296875,307.299133300781,296.727111816406,286.649780273438,280.493896484375,276.7880859375
"ChinaMoll",255.429565429688,259.513793945312,268.165405273438,277.585662841797,287.883544921875,295.188720703125,297.391784667969,294.664672851562,286.6826171875,277.760955810547,267.751586914062,257.790069580078,262.256622314453,264.752136230469,272.632080078125,282.991729736328,292.975677490234,300.156280517578,302.181762695312,300.558013916016,292.961547851562,282.876434326172,274.283905029297,267.209899902344
