"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",271.855026534021,272.150476814022,274.4884515852,279.913379167479,287.094669050707,294.075873621976,298.35516185656,296.35601935451,290.403672710445,281.917942144017,275.264228747775,272.423664926695,273.850741883461,275.207278538959,278.19735750008,284.271324981081,291.710110967504,298.670112462431,303.539952309872,301.775700799264,296.089270365335,286.242173143564,278.923203446964,274.800686971246
"PampasPlain",299.282354599893,298.411145910795,296.402985399443,292.322338685765,288.234100862519,284.647481218414,283.693400796936,285.298609422104,288.000919617153,291.662355679599,295.245255016522,298.039419656728,302.906322240419,301.943913062238,299.439305775291,295.431715120841,291.045633493959,287.345139927156,286.18333713305,287.639599466435,290.331005566623,294.246103364694,298.272279376876,301.404067715622
"EurasianSteppe",272.972047761508,273.116623530373,275.423070492174,281.636381455992,290.580028497602,297.811106136967,301.638980598427,298.915664288381,290.192762260184,281.586095276229,276.456979301856,274.134662403366,274.766914551391,275.182393617332,277.829511607568,284.807328550731,293.326110183511,302.54070524796,306.292072544773,303.853452726774,295.38343175596,287.449739496105,279.782234277201,277.258950303728
"ChinaMoll",264.575469860934,266.205617365915,270.524415819922,277.676045883836,284.940442610141,290.996455267479,293.162048305481,289.827625972724,283.419249767903,275.530403659029,269.279131076205,265.937208985399,268.368482690445,269.440159699753,273.476200985081,281.072943010042,288.765486046607,295.331291539858,297.848610764084,295.240924657401,288.543825449045,280.419363655757,272.458170662897,269.48126876484
