"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",266.310760498047,269.125305175781,275.205627441406,281.544067382812,287.133605957031,290.751922607422,293.763702392578,292.903778076172,288.711090087891,282.149505615234,274.734985351562,268.445556640625,271.496643066406,274.896240234375,279.361907958984,285.3935546875,290.480895996094,295.402465820312,299.5791015625,300.181823730469,295.060913085938,288.190795898438,279.639129638672,273.598937988281
"PampasPlain",302.443939208984,302.005340576172,299.560638427734,294.971862792969,290.216705322266,287.588073730469,287.114685058594,288.422821044922,290.982635498047,293.541778564453,297.215362548828,299.974060058594,306.756164550781,306.18408203125,304.134948730469,299.307037353516,294.142608642578,290.841430664062,291.078796386719,292.495880126953,295.428649902344,297.951324462891,301.71875,304.762939453125
"EurasianSteppe",268.570465087891,269.124664306641,276.347381591797,284.479675292969,288.97607421875,291.599914550781,293.913818359375,294.667053222656,289.912719726562,282.885833740234,275.084625244141,270.200164794922,273.304138183594,275.22265625,280.830688476562,288.183654785156,292.366149902344,297.082611083984,300.454956054688,300.617980957031,295.135803222656,287.793731689453,280.365203857422,275.306579589844
"ChinaMoll",255.863967895508,259.252166748047,268.715362548828,279.388732910156,285.490325927734,289.662384033203,293.079254150391,291.131866455078,286.082946777344,277.920776367188,267.355255126953,259.277435302734,262.572204589844,265.493896484375,274.292144775391,282.680633544922,289.33203125,293.995239257812,298.153106689453,296.761688232422,290.793212890625,282.671997070312,273.872497558594,266.32177734375
