"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",268.276275634766,271.219055175781,275.345611572266,282.807983398438,292.184722900391,300.002349853516,304.865356445312,303.386260986328,294.653228759766,284.53759765625,275.154815673828,270.255279541016,272.089538574219,274.811248779297,279.520141601562,286.465911865234,295.654724121094,303.113677978516,307.637634277344,306.334259033203,298.409027099609,288.149230957031,278.621185302734,273.044250488281
"PampasPlain",300.186248779297,298.703247070312,295.626403808594,291.596160888672,286.948333740234,284.445526123047,284.669494628906,287.087982177734,290.510498046875,293.918701171875,296.807739257812,299.142272949219,302.783905029297,301.028015136719,298.78955078125,294.262023925781,289.525817871094,286.389587402344,286.340209960938,288.582458496094,291.955902099609,296.511596679688,300.078125,302.193786621094
"EurasianSteppe",270.440277099609,271.112182617188,274.37939453125,282.251312255859,292.801971435547,300.380126953125,303.452484130859,300.451904296875,290.707611083984,281.421417236328,274.911651611328,271.53076171875,272.493682861328,273.440673828125,278.346984863281,285.741149902344,295.378631591797,302.070739746094,306.675018310547,303.712554931641,294.093048095703,284.340576171875,277.40673828125,274.329650878906
"ChinaMoll",255.429565429688,259.513793945312,268.165405273438,277.585662841797,287.883544921875,295.188720703125,297.391784667969,294.664672851562,286.6826171875,277.760955810547,267.751586914062,257.790069580078,259.162994384766,262.165618896484,270.019897460938,279.451446533203,290.630340576172,297.209503173828,299.347473144531,297.521667480469,289.678405761719,280.034423828125,271.520172119141,262.489318847656
