"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",-5.50818315511268,-42.0450512452864,-6.07994139194489,NA,NA,-1.73987969756126,-6.5201114636643,-8.3725517988205,NA,NA,NA,NA,NA,NA
"Rock",-5.91553081396688,-1.5039169147544,4.23365771770477,NA,NA,-3.61008644104004,-3.84434277051176,-13.1433975696564,NA,NA,NA,NA,NA,NA
"ShiftingSand",-1.56905870632634,-0.199845729662812,-1.73664256930351,NA,NA,-0.84396880120039,-5.24573556712664,-2.39112719893456,NA,NA,NA,NA,NA,NA
"Gelisol",2.86168017508999,-315.020403794849,4.13458049297333,NA,NA,2.65897754579782,-3.58825350421289,-15.5609786510468,NA,NA,NA,NA,NA,NA
"Histosol",-3.80943339646221,-17.2100601659727,-1.76924556493759,NA,NA,-1.67998485267162,-10.1731382284591,-16.8418776988983,NA,NA,NA,NA,NA,NA
"Spodosol",-20.1140084693319,-25.1789306161874,-20.2885103225708,NA,NA,-8.42234492301941,-9.31252942513631,-24.1085290908813,NA,NA,NA,NA,NA,NA
"Andisol",-15.0331091524953,-24.3665111241857,-8.0836433172226,NA,NA,-2.93641928583384,-8.20909726308141,-9.02690351009369,NA,NA,NA,NA,NA,NA
"Oxisol",-6.21512596210197,-4.88328658325614,-23.473207950592,NA,NA,-2.35132537782192,-12.8094099043398,-5.60857355594635,NA,NA,NA,NA,NA,NA
"Vertisol",-3.59270071329306,2.18605708889382,-5.22005498409271,NA,NA,-2.0913602784276,-5.80828717636634,-0.774434879422188,NA,NA,NA,NA,NA,NA
"Aridisol",-3.95489616768811,-2.160471040911,-3.72085064649582,NA,NA,-3.33792082965374,-5.65052202864703,-4.3606761097908,NA,NA,NA,NA,NA,NA
"Ultisol",-5.92845820189918,-6.4604119283373,-8.2518482208252,NA,NA,-0.749598676338792,-6.93409015336498,-4.5560160279274,NA,NA,NA,NA,NA,NA
"Mollisol",-10.2008597946857,-18.9912900167561,-5.97210049629211,NA,NA,-3.69270481169224,-7.58428562306932,-4.68304187059402,NA,NA,NA,NA,NA,NA
"Alfisol",-9.99281878189927,-12.03115670424,-7.94763505458832,NA,NA,-3.33733297884464,-6.29701664601242,-8.30156028270721,NA,NA,NA,NA,NA,NA
"Inceptisol",-6.34269053064563,-48.3863472485735,-4.21481132507324,NA,NA,0.171028694603592,-3.91493433840671,-15.1076710224152,NA,NA,NA,NA,NA,NA
"Entisol",-3.30595002075139,-2.32835402359107,-4.39639389514923,NA,NA,-1.80245991796255,-7.23353911588283,-3.4161052107811,NA,NA,NA,NA,NA,NA
"GreatPlains",-12.2732037302515,-27.42610061225,-14.5933794975281,NA,NA,-1.69282574206591,-13.1545839733692,0.438232645392418,NA,NA,NA,NA,NA,NA
"PampasPlain",-2.61557028006289,7.23882110265775,-8.87725472450256,NA,NA,-5.25561682879925,21.3445827164563,14.1057705879211,NA,NA,NA,NA,NA,NA
"EurasianSteppe",-20.0614926377267,-34.1820251040507,-14.6722650527954,NA,NA,-11.294874548912,-21.9601890152665,-12.9595899581909,NA,NA,NA,NA,NA,NA
"ChinaMoll",3.40875511304066,6.20847104986255,27.0292139053345,NA,NA,4.177500680089,-2.76151384768614,-7.88164019584656,NA,NA,NA,NA,NA,NA
