"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",266.310760498047,269.125305175781,275.205627441406,281.544067382812,287.133605957031,290.751922607422,293.763702392578,292.903778076172,288.711090087891,282.149505615234,274.734985351562,268.445556640625,269.339202880859,272.872131347656,276.966979980469,283.069000244141,288.329498291016,292.466156005859,296.213104248047,295.612670898438,291.364471435547,284.319976806641,276.698150634766,270.127990722656
"PampasPlain",302.443939208984,302.005340576172,299.560638427734,294.971862792969,290.216705322266,287.588073730469,287.114685058594,288.422821044922,290.982635498047,293.541778564453,297.215362548828,299.974060058594,304.239807128906,303.789276123047,301.438659667969,296.947235107422,291.847534179688,288.503387451172,288.182342529297,289.766387939453,293.117218017578,295.903686523438,299.417572021484,302.499298095703
"EurasianSteppe",268.570465087891,269.124664306641,276.347381591797,284.479675292969,288.97607421875,291.599914550781,293.913818359375,294.667053222656,289.912719726562,282.885833740234,275.084625244141,270.200164794922,271.12841796875,273.185882568359,278.586151123047,285.710662841797,290.466583251953,293.920440673828,296.823303222656,296.337585449219,291.553344726562,284.334045410156,277.484497070312,272.5400390625
"ChinaMoll",255.863967895508,259.252166748047,268.715362548828,279.388732910156,285.490325927734,289.662384033203,293.079254150391,291.131866455078,286.082946777344,277.920776367188,267.355255126953,259.277435302734,258.499572753906,262.611450195312,271.254028320312,281.049163818359,287.410766601562,291.999877929688,295.073669433594,293.383911132812,287.617156982422,280.134704589844,269.371887207031,261.623779296875
