"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",271.64079849012,273.390933913131,276.772876998473,283.140732249461,289.974597086533,296.299011355898,301.447289167044,300.9842607451,293.478830114251,284.55577700784,276.039448070464,272.055973546791,273.023186300362,274.811091542183,278.231452924675,284.948359566638,291.753372824629,298.076229265356,303.936992030275,303.475877267089,295.896023331474,285.513136031051,277.496249052818,273.434581760807
"PampasPlain",300.777304887659,300.23461091548,298.104034050093,293.665564522796,290.231952412021,286.676573570945,287.081879747457,289.278089608334,292.360569401226,295.531811733279,297.805033553202,299.783218442039,301.668839928596,301.399920584907,299.254775392541,295.442437918777,291.818143153807,288.343687954328,288.013834461045,290.585120572499,293.817556012504,296.515287695059,299.053356987961,300.702989723394
"EurasianSteppe",273.257199332032,274.036204721827,277.045399311984,284.733823456066,292.082162696426,297.625497193915,302.173232647863,299.936233737209,292.057041365958,283.291542759662,276.955986993993,274.117355626307,274.050390994596,275.286677605253,279.194636909507,285.786209415836,293.993386720806,300.325901832999,303.922665903531,302.551744271305,293.994669981096,285.7653356108,278.480500804469,274.618614919657
"ChinaMoll",262.760465825167,264.935366968742,270.386395126707,278.911363053077,287.552850037821,293.703768559835,296.469919172629,294.408032469285,286.608147835809,277.231625586681,268.573791402428,263.310952549343,265.216591243956,267.368972379216,271.767773551676,280.607329455037,289.440025394431,294.997995727168,297.720167301745,295.948852332708,288.748732717764,279.177018762269,270.735996605651,265.757534726488
