"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",266.157287597656,268.819213867188,273.528472900391,281.091522216797,288.499908447266,293.232208251953,296.251129150391,293.757232666016,287.679931640625,280.924530029297,273.243713378906,268.483795166016,268.845428466797,270.286529541016,275.813873291016,282.234130859375,289.349304199219,294.106506347656,297.465362548828,295.574768066406,288.855102539062,281.717712402344,275.038696289062,270.911468505859
"PampasPlain",304.787139892578,303.647003173828,299.824035644531,294.645477294922,289.503021240234,286.906768798828,287.109161376953,290.142700195312,294.534423828125,297.030639648438,300.340698242188,303.479705810547,306.174194335938,304.298461914062,301.221313476562,294.850280761719,290.175384521484,288.254272460938,288.989715576172,292.017333984375,295.996307373047,298.486907958984,300.961791992188,304.506011962891
"EurasianSteppe",268.922180175781,269.533477783203,273.751770019531,282.002593994141,291.277740478516,297.284454345703,299.684753417969,297.515106201172,289.582489013672,280.483947753906,274.554779052734,270.705688476562,270.755584716797,270.634490966797,274.621398925781,282.794281005859,292.816131591797,298.208770751953,300.603179931641,298.848510742188,290.999053955078,283.300872802734,276.453674316406,272.148712158203
"ChinaMoll",258.551788330078,261.981781005859,268.351470947266,277.813537597656,286.246154785156,291.297576904297,294.037658691406,291.285766601562,284.142150878906,275.929016113281,267.983795166016,260.715148925781,260.625427246094,263.141082763672,269.630523681641,279.442718505859,287.614379882812,292.100708007812,294.481079101562,291.753509521484,284.925445556641,276.580780029297,268.63916015625,262.277465820312
