"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",271.354064941406,271.461791992188,272.625335693359,275.276397705078,280.710815429688,285.437042236328,288.906555175781,288.138702392578,284.731231689453,279.987243652344,274.584747314453,272.136627197266,272.294250488281,272.804626464844,274.186798095703,277.601501464844,283.617645263672,289.469665527344,292.510925292969,291.832122802734,288.238800048828,282.968658447266,276.331512451172,273.305847167969
"PampasPlain",300.469757080078,299.263977050781,297.197967529297,293.037933349609,289.573425292969,286.795471191406,285.712310791016,287.208984375,289.693969726562,292.115966796875,296.894134521484,299.397033691406,300.959259033203,300.673461914062,298.344512939453,295.208557128906,290.876739501953,288.22802734375,287.017639160156,288.152496337891,290.243072509766,292.969146728516,296.790161132812,299.889434814453
"EurasianSteppe",272.365173339844,272.210784912109,272.910064697266,275.632629394531,281.926818847656,287.997283935547,289.621398925781,289.254638671875,285.051879882812,279.290802001953,275.471923828125,273.089477539062,273.844451904297,273.310791015625,274.193725585938,278.644744873047,284.390930175781,290.545013427734,292.963195800781,292.334625244141,288.707244873047,282.77587890625,277.564453125,275.128204345703
"ChinaMoll",266.397094726562,266.580871582031,268.924987792969,272.171447753906,276.819000244141,284.008941650391,287.704437255859,286.6630859375,281.893707275391,275.592010498047,271.285675048828,268.405151367188,269.616027832031,269.556793212891,271.661682128906,274.235290527344,280.831726074219,287.453735351562,291.372131347656,290.167724609375,285.418304443359,279.299163818359,274.0654296875,270.972900390625
