"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",272.62990721412,272.951862304238,274.772194227852,278.22718658654,285.554684458306,292.56106065492,296.938119253151,296.337166960697,290.224378998997,283.189753063784,276.561234298718,273.240740965026,274.044071458742,274.328704579722,276.699393652051,281.227693274353,288.5644135363,295.860486500086,300.254855560033,300.006774265787,293.834284955069,285.930260033244,278.31646186917,274.989986431095
"PampasPlain",302.292316578261,301.608112089676,298.481335561235,293.464802069713,287.950642064009,284.985041005105,283.39216795607,285.281080011339,289.084590476972,293.949569218502,298.298982850707,300.777674638413,304.277318919856,303.166017786531,299.268565555646,294.296861912236,289.921475520226,286.078009451055,284.828151066484,286.687677700139,290.586506627042,295.560924808729,299.243487412496,302.826172018417
"EurasianSteppe",273.460710719845,273.710001791584,275.071463548485,280.683221225728,289.276221761061,297.145379670657,302.315221843746,301.27784221068,293.555398596321,284.632051185711,278.378620891984,274.379478453708,274.938630671238,274.964818522177,277.104236750806,283.623404379323,291.81167823848,299.102749810985,304.268426262351,305.193815102771,296.699292734832,287.687619706677,280.356676030497,276.939288987378
"ChinaMoll",265.592578701699,266.714235977236,269.753555953958,275.406912257509,282.636063455966,289.211717844351,294.473212889661,292.91370842852,285.984283193003,277.905303955679,270.762951397609,267.168422612604,267.458513662853,268.468264106701,271.061365935619,276.166811272006,283.870205183486,292.064634431044,297.388783642578,296.277426035437,289.185494297524,280.994590689051,273.443129288832,268.787952948084
