"","Jan.1986.2005","Feb.1986.2005","Mar.1986.2005","Apr.1986.2005","May.1986.2005","Jun.1986.2005","Jul.1986.2005","Aug.1986.2005","Sep.1986.2005","Oct.1986.2005","Nov.1986.2005","Dec.1986.2005","Jan.2081.2100","Feb.2081.2100","Mar.2081.2100","Apr.2081.2100","May.2081.2100","Jun.2081.2100","Jul.2081.2100","Aug.2081.2100","Sep.2081.2100","Oct.2081.2100","Nov.2081.2100","Dec.2081.2100"
"GreatPlains",272.040405273438,273.743560791016,275.292633056641,279.207916259766,283.820465087891,288.382049560547,291.254241943359,290.764526367188,285.758697509766,280.072479248047,275.357391357422,272.826385498047,275.358123779297,276.473022460938,278.006530761719,282.127380371094,286.710174560547,291.620727539062,294.999420166016,294.927429199219,289.959564208984,284.449859619141,278.090881347656,275.617431640625
"PampasPlain",296.119659423828,295.663452148438,293.144378662109,289.764251708984,284.79638671875,281.813049316406,280.607208251953,282.265716552734,284.743072509766,288.8359375,292.530517578125,295.270355224609,299.618255615234,299.216674804688,296.7861328125,292.204528808594,287.533813476562,283.873779296875,282.924621582031,284.662872314453,287.578155517578,291.339019775391,295.742340087891,298.208923339844
"EurasianSteppe",271.955871582031,271.825378417969,273.966613769531,278.566070556641,283.888061523438,289.536285400391,291.684448242188,289.567687988281,284.505126953125,279.057586669922,274.543243408203,272.594573974609,274.080505371094,274.815216064453,276.909149169922,281.275054931641,287.202606201172,293.383178710938,295.262481689453,293.166076660156,287.837066650391,281.598724365234,277.274475097656,274.430419921875
"ChinaMoll",261.041137695312,261.45068359375,265.508911132812,273.463623046875,280.560668945312,286.195983886719,289.453460693359,287.437347412109,281.174407958984,274.365447998047,268.175872802734,263.465789794922,263.797485351562,265.048278808594,269.235473632812,275.87646484375,282.987396240234,289.29638671875,292.287048339844,291.240753173828,284.819030761719,277.625671386719,271.129333496094,265.761535644531
